id,userId,schoolDistrict,students
1,97,Fraser Meadow Garlic,"[10,64,74,72]"
2,95,Simpson's Rosinweed,"[18,8,3,58]"
3,94,Painted Milkvetch,"[67,24,29,85]"
4,93,Springflowering Goldenrod,"[41,65,68,70]"
5,90,Horsehair Lichen,"[71,95,75,23]"
6,87,Piedmont Bladderwort,"[35,6,87,76]"
7,85,Slender Buckwheat,"[26,32,25,60]"
8,84,Tropical Bristlegrass,"[81,84,83,20]"
9,80,Yellow Himalayan Raspberry,"[15,92,51,91]"
10,76,Purple Locoweed,"[61,2,50,13]"
11,74,Sneezeweed,"[14,12,98,53]"
12,67,Racomitrium Moss,"[62,63,39,94]"
13,66,California Greenbrier,"[22,7,1,78]"
14,64,Slash Pine,"[52,88,37,54]"
15,59,Azure Penstemon,"[73,90,59,100]"
16,48,Cutleaf Daisy,"[55,36,79,66]"
17,45,Creeping Sedge,"[93,11,86,77]"
18,33,Soft Twinevine,"[47,96,31,17]"
19,26,Cracked Lichen,"[5,16,57,89]"
20,25,Blue Wildrye,"[48,97,19,42]"
21,20,Common Screwpine,"[38,46,56,27]"
22,19,Silkyleaf Cinquefoil,"[45,33,99,80]"
23,18,Red Turtlehead,"[69,49,9,28]"
24,7,Dune Willow,"[30,44,40,4]"
25,1,Juniper Biscuitroot,"[82,21,34,43]"
